Rating,Ibu,Abv,Ipa,Ale,Pale,American,Lager,Imperial,Stout
3.25,0,4.70,0,0,0,0,0,0,0
4.25,70,7.30,0,0,0,1,0,0,0
4.00,67,7.50,0,0,0,0,0,1,0
3.75,55,7.20,0,0,0,0,0,0,0
3.50,0,5.70,0,1,0,0,0,0,0
3.50,66,6.50,0,0,0,0,0,0,0
3.25,0,4.70,0,0,0,0,0,0,0
4.50,65,6.80,0,0,0,1,0,0,0
3.00,0,5.20,0,0,0,0,0,0,0
2.00,0,3.50,0,0,0,0,0,0,0
3.75,60,6.00,0,0,0,0,0,0,0
3.25,30,4.50,0,1,0,0,0,0,0
3.00,15,4.70,0,0,0,0,0,0,0
3.75,0,7.30,0,1,0,0,0,0,0
3.50,0,5.50,0,1,1,1,0,0,0
3.50,0,5.50,0,1,1,1,0,0,0
3.75,0,6.30,0,0,0,1,0,0,0
3.50,100,6.50,0,0,0,1,0,0,0
2.00,0,4.00,0,1,0,0,0,0,0
3.00,0,6.30,0,1,0,0,0,0,0
3.00,0,4.50,0,0,0,0,0,0,0
3.25,70,4.60,0,1,0,0,0,0,0
3.50,29,4.60,0,1,0,0,0,0,0
4.25,0,4.70,0,1,0,0,0,0,0
4.00,0,4.60,0,0,1,0,1,0,0
3.00,0,5.20,0,0,0,0,0,0,0
4.00,0,4.50,0,0,0,0,0,0,0
2.00,0,4.30,0,0,0,1,1,0,0
2.00,0,4.50,0,0,0,0,0,0,0
2.50,21,4.50,0,0,1,0,1,0,0
4.25,65,11.00,0,0,0,0,0,1,1
3.50,0,5.20,0,0,0,0,0,0,0
4.25,55,5.00,0,0,0,1,0,0,0
1.25,10,4.45,0,0,0,1,1,0,0
2.25,24,4.50,0,0,0,0,0,0,0
4.50,32,5.00,0,0,0,0,0,0,0
